StockCode,Year,ROE,Leverage,Growth,ROA
000002,2015,0.192403,0.126601,0.3454,0.0962015
000002,2016,0.196815,0.150056,0.092519,0.0984075
000002,2017,0.227952,0.205488,0.312453,0.113976
000002,2018,0.234175,0.17855,0.324225,0.1170875
000002,2019,0.226117,0.130593,0.118917,0.1130585
000002,2020,0.201254,0.148184,0.075574,0.100627
000002,2021,0.097832,0.113899,-0.357998,0.048916
000002,2022,0.094508,0.12732,-0.013623,0.047254
000002,2023,0.049294,0.121476,-0.456151,0.024647
000004,2015,0.015416,0.251821,-0.561137,0.007708
000004,2016,0.388437,2.755502,4.791955,0.1942185
000004,2017,0.068476,1.505397,-0.851642,0.034238
000004,2018,-0.169897,0.293344,-4.66799,-0.0849485
000004,2019,0.004135,1.727859,0.833246,0.0020675
000004,2020,0.045404,1.748816,18.200448,0.022702
000004,2021,-0.423464,1.082738,-9.204099,-0.211732
000004,2022,-0.915502,0.612713,-0.171808,-0.457751
000004,2023,-0.572888,0.480531,0.731253,-0.286444
000005,2015,-0.060755,0.175043,-2.251779,-0.0303775
000005,2016,0.089385,0.065719,3.164699,0.0446925
000005,2017,0.011753,0.06334,-0.803903,0.0058765
000005,2018,0.105847,0.044174,5.834177,0.0529235
000005,2019,0.111282,0.087492,0.138757,0.055641
000005,2020,-0.268119,0.122687,-3.166942,-0.1340595
000005,2021,0.106371,0.16924,1.361099,0.0531855
000005,2022,-0.120655,0.123735,-2.154084,-0.0603275
000005,2023,-0.179094,0.06921,-0.278529,-0.089547
000006,2015,0.097743,0.417694,-0.143755,0.0488715
000006,2016,0.165687,0.638493,0.832047,0.0828435
000006,2017,0.152396,0.475816,0.020657,0.076198
000006,2018,0.148612,0.671316,0.125103,0.074306
000006,2019,0.123892,0.589301,-0.08673,0.061946
000006,2020,0.122644,0.468795,0.070962,0.061322
000006,2021,0.072177,0.319036,-0.386979,0.0360885
000006,2022,0.053979,0.433284,-0.190515,0.0269895
000006,2023,-0.107927,0.307106,-3.012575,-0.0539635
000007,2015,0.038658,2.035858,1.396579,0.019329
000007,2016,0.210954,0.761584,5.161247,0.105477
000007,2017,0.043448,0.170592,-0.990253,0.021724
000007,2018,-0.679362,0.947665,-247.775516,-0.339681
000007,2019,0.111421,1.88971,1.113298,0.0557105
000007,2020,-0.89776,0.2586,-6.535021,-0.44888
000007,2021,0.482194,0.30671,1.327935,0.241097
000007,2022,-0.055845,1.281192,-1.156843,-0.0279225
000007,2023,0.332621,1.565757,6.797231,0.1663105
000008,2015,0.106726,0.712923,23.452654,0.053363
000008,2016,0.115699,0.568149,1.79366,0.0578495
000008,2017,0.132206,0.29404,0.676796,0.066103
000008,2018,0.045088,0.443264,-0.615686,0.022544
000008,2019,0.058816,0.317163,0.337907,0.029408
000008,2020,-0.127755,0.16977,-2.950018,-0.0638775
000008,2021,-0.237398,0.201898,-0.545773,-0.118699
000008,2022,-0.176695,0.0993,0.385509,-0.0883475
000008,2023,-0.208947,0.069725,0.026893,-0.1044735
000009,2015,0.203624,0.468372,1.044019,0.101812
000009,2016,0.052183,0.197313,-0.547671,0.0260915
000009,2017,0.028125,0.354854,-0.229413,0.0140625
000009,2018,0.041632,0.407398,1.057466,0.020816
000009,2019,0.055737,0.446269,0.070347,0.0278685
000009,2020,0.106249,0.583278,0.500005,0.0531245
000009,2021,0.1388,0.450948,0.647448,0.0694
000009,2022,0.135003,0.505076,0.402976,0.0675015
